State,Year,Month,Precipitation/rainfall per month
Arunachal Pradesh,2019,1,19
Arunachal Pradesh,2019,2,101.9
Arunachal Pradesh,2019,3,80.3
Arunachal Pradesh,2019,4,86.7
Arunachal Pradesh,2019,5,299
Arunachal Pradesh,2019,6,415.8
Arunachal Pradesh,2019,7,392.4
Arunachal Pradesh,2019,8,599.6
Arunachal Pradesh,2019,9,343
Arunachal Pradesh,2019,10,35.1
Arunachal Pradesh,2019,11,20.1
Arunachal Pradesh,2019,12,10.2
Arunachal Pradesh,2020,1,115.1
Arunachal Pradesh,2020,2,175.1
Arunachal Pradesh,2020,3,335.8
Arunachal Pradesh,2020,4,290.0
Arunachal Pradesh,2020,5,329.6
Arunachal Pradesh,2020,6,230.2
Arunachal Pradesh,2020,7,316.1
Arunachal Pradesh,2020,8,164.1
Arunachal Pradesh,2020,9,13.3
Arunachal Pradesh,2020,10,14.6
Arunachal Pradesh,2020,11,0.4
Arunachal Pradesh,2020,12,0
Arunachal Pradesh,2021,1,0.2
Arunachal Pradesh,2021,2,0.5
Arunachal Pradesh,2021,3,1.4
Arunachal Pradesh,2021,4,5
Arunachal Pradesh,2021,5,259.6
Arunachal Pradesh,2021,6,354.3
Arunachal Pradesh,2021,7,258.3
Arunachal Pradesh,2021,8,328.7
Arunachal Pradesh,2021,9,103
Arunachal Pradesh,2021,10,189.6
Arunachal Pradesh,2021,11,0
Arunachal Pradesh,2021,12,12
Arunachal Pradesh,2022,1,11.2
Arunachal Pradesh,2022,2,28.8
Arunachal Pradesh,2022,3,0.1
Arunachal Pradesh,2022,4,10.8
Arunachal Pradesh,2022,5,78
Arunachal Pradesh,2022,6,172.6
Arunachal Pradesh,2022,7,134.7
Arunachal Pradesh,2022,8,170.1
Arunachal Pradesh,2022,9,206.2
Arunachal Pradesh,2022,10,81.8
Arunachal Pradesh,2022,11,0
Arunachal Pradesh,2022,12,0.1
Arunachal Pradesh,2023,1,0.2
Arunachal Pradesh,2023,2,0
Arunachal Pradesh,2023,3,19.7
Arunachal Pradesh,2023,4,14.8
Arunachal Pradesh,2023,5,40.1
Arunachal Pradesh,2023,6,85
Arunachal Pradesh,2023,7,178.2
Arunachal Pradesh,2023,8,306.5
Arunachal Pradesh,2023,9,190.9
Arunachal Pradesh,2023,10,94.6
Arunachal Pradesh,2023,11,0.1
Arunachal Pradesh,2023,12,8.1
