State,Year,Month,Precipitation/rainfall per month
Chattisgarh,2019,1,2.9
Chattisgarh,2019,2,19.4
Chattisgarh,2019,3,4.8
Chattisgarh,2019,4,45.5
Chattisgarh,2019,5,5.7
Chattisgarh,2019,6,265. 6
Chattisgarh,2019,7,425. 4
Chattisgarh,2019,8,335. 8
Chattisgarh,2019,9,138. 3
Chattisgarh,2019,10,174. 6
Chattisgarh,2019,11,0.3
Chattisgarh,2019,12,0.1
Chattisgarh,2020,1,6.6
Chattisgarh,2020,2,13
Chattisgarh,2020,3,3.8
Chattisgarh,2020,4,2.8
Chattisgarh,2020,5,0.5
Chattisgarh,2020,6,366. 7
Chattisgarh,2020,7,535. 5
Chattisgarh,2020,8,326. 1
Chattisgarh,2020,9,131. 7
Chattisgarh,2020,10,133. 5
Chattisgarh,2020,11,0
Chattisgarh,2020,12,0
Chattisgarh,2021,1,2.1
Chattisgarh,2021,2,27.9
Chattisgarh,2021,3,19.2
Chattisgarh,2021,4,16.2
Chattisgarh,2021,5,25.5
Chattisgarh,2021,6,102.7
Chattisgarh,2021,7,422.4
Chattisgarh,2021,8,327.6
Chattisgarh,2021,9,253.3
Chattisgarh,2021,10,74.6
Chattisgarh,2021,11,2.7
Chattisgarh,2021,12,0.6
Chattisgarh,2022,1,1.2
Chattisgarh,2022,2,18.3
Chattisgarh,2022,3,49.6
Chattisgarh,2022,4,2.6
Chattisgarh,2022,5,4
Chattisgarh,2022,6,63.3
Chattisgarh,2022,7,337.6
Chattisgarh,2022,8,191.7
Chattisgarh,2022,9,224.9
Chattisgarh,2022,10,17.3
Chattisgarh,2022,11,6.2
Chattisgarh,2022,12,2.36.6
Chattisgarh,2023,1,13
Chattisgarh,2023,2,3.8
Chattisgarh,2023,3,2.8
Chattisgarh,2023,4,0.5
Chattisgarh,2023,5,366. 7
Chattisgarh,2023,6,535. 5
Chattisgarh,2023,7,326. 1
Chattisgarh,2023,8,131. 7
Chattisgarh,2023,9,133. 5
Chattisgarh,2023,10,0
Chattisgarh,2023,11,0
Chattisgarh,2023,12,0.1
