State,Year,Month,Precipitation/rainfall per month
Delhi,2019,1,13
Delhi,2019,2,17.3
Delhi,2019,3,26.7
Delhi,2019,4,7.5
Delhi,2019,5,20.3
Delhi,2019,6,25.9
Delhi,2019,7,72.4
Delhi,2019,8,34.9
Delhi,2019,9,67.2
Delhi,2019,10,10.5
Delhi,2019,11,0.2
Delhi,2019,12,9.6
Delhi,2020,1,21.1
Delhi,2020,2,52.1
Delhi,2020,3,5.3
Delhi,2020,4,3.3
Delhi,2020,5,1.4
Delhi,2020,6,61.9
Delhi,2020,7,96.8
Delhi,2020,8,161. 8
Delhi,2020,9,42.8
Delhi,2020,10,11
Delhi,2020,11,1.7
Delhi,2020,12,2.1
Delhi,2021,1,29.6
Delhi,2021,2,1.4
Delhi,2021,3,1.2
Delhi,2021,4,2.6
Delhi,2021,5,72.6
Delhi,2021,6,29.6
Delhi,2021,7,338.9
Delhi,2021,8,144.7
Delhi,2021,9,232.1
Delhi,2021,10,56.7
Delhi,2021,11,0
Delhi,2021,12,4
Delhi,2022,1,69
Delhi,2022,2,15.3
Delhi,2022,3,0.2
Delhi,2022,4,0.5
Delhi,2022,5,34.5
Delhi,2022,6,36
Delhi,2022,7,220.4
Delhi,2022,8,70
Delhi,2022,9,138.3
Delhi,2022,10,35.9
Delhi,2022,11,0.3
Delhi,2022,12,0
Delhi,2023,1,11.6
Delhi,2023,2,0
Delhi,2023,3,41.8
Delhi,2023,4,14.6
Delhi,2023,5,52.4
Delhi,2023,6,81.1
Delhi,2023,7,236.9
Delhi,2023,8,58.5
Delhi,2023,9,43.6
Delhi,2023,10,9.9
Delhi,2023,11,4.8
Delhi,2023,12,2.8
