State,Year,Month,Precipitation/rainfall per month
Gujarat,2019,1,7.5
Gujarat,2019,2,0.2
Gujarat,2019,3,0.2
Gujarat,2019,4,1
Gujarat,2019,5,1.3
Gujarat,2019,6,12.2
Gujarat,2019,7,341.8
Gujarat,2019,8,154.5
Gujarat,2019,9,268.6
Gujarat,2019,10,3.5
Gujarat,2019,11,1.5
Gujarat,2019,12,0
Gujarat,2020,1,0.3
Gujarat,2020,2,0
Gujarat,2020,3,0.1
Gujarat,2020,4,0.5
Gujarat,2020,5,2.4
Gujarat,2020,6,22.6
Gujarat,2020,7,166.2
Gujarat,2020,8,147.7
Gujarat,2020,9,118.2
Gujarat,2020,10,6.5
Gujarat,2020,11,3.3
Gujarat,2020,12,0
Gujarat,2021,1,0
Gujarat,2021,2,1.1
Gujarat,2021,3,0.1
Gujarat,2021,4,5.6
Gujarat,2021,5,0
Gujarat,2021,6,168. 2
Gujarat,2021,7,454. 2
Gujarat,2021,8,238. 1
Gujarat,2021,9,323. 3
Gujarat,2021,10,59.9
Gujarat,2021,11,0.1
Gujarat,2021,12,0
Gujarat,2022,1,1.9
Gujarat,2022,2,0.2
Gujarat,2022,3,0.1
Gujarat,2022,4,9.6
Gujarat,2022,5,0.1
Gujarat,2022,6,159. 1
Gujarat,2022,7,208. 9
Gujarat,2022,8,100. 4
Gujarat,2022,9,308. 9
Gujarat,2022,10,34.7
Gujarat,2022,11,0
Gujarat,2022,12,0.1
Gujarat,2023,1,7.5
Gujarat,2023,2,0.2
Gujarat,2023,3,0.2
Gujarat,2023,4,1
Gujarat,2023,5,1.3
Gujarat,2023,6,12.2
Gujarat,2023,7,341.8
Gujarat,2023,8,154.5
Gujarat,2023,9,268.6
Gujarat,2023,10,3.5
Gujarat,2023,11,1.5
Gujarat,2023,12,0
