State,Year,Month,Precipitation/rainfall per month
Himachal pradesh,2019,1,75.6
Himachal pradesh,2019,2,174. 2
Himachal pradesh,2019,3,75.1
Himachal pradesh,2019,4,25
Himachal pradesh,2019,5,31.3
Himachal pradesh,2019,6,240. 7
Himachal pradesh,2019,7,219. 7
Himachal pradesh,2019,8,245. 9
Himachal pradesh,2019,9,67.9
Himachal pradesh,2019,10,20.5
Himachal pradesh,2019,11,15.8
Himachal pradesh,2019,12,25.4
Himachal pradesh,2020,1,66.3
Himachal pradesh,2020,2,118.6
Himachal pradesh,2020,3,118.4
Himachal pradesh,2020,4,55.8
Himachal pradesh,2020,5,64.7
Himachal pradesh,2020,6,54.4
Himachal pradesh,2020,7,214.4
Himachal pradesh,2020,8,167.8
Himachal pradesh,2020,9,86.5
Himachal pradesh,2020,10,18.1
Himachal pradesh,2020,11,3.7
Himachal pradesh,2020,12,51.2
Himachal pradesh,2021,1,0.4
Himachal pradesh,2021,2,2.4
Himachal pradesh,2021,3,17.7
Himachal pradesh,2021,4,46.7
Himachal pradesh,2021,5,130.5
Himachal pradesh,2021,6,106.8
Himachal pradesh,2021,7,271.6
Himachal pradesh,2021,8,254.6
Himachal pradesh,2021,9,161.6
Himachal pradesh,2021,10,152.9
Himachal pradesh,2021,11,20.2
Himachal pradesh,2021,12,18.7
Himachal pradesh,2022,1,0.5
Himachal pradesh,2022,2,10.1
Himachal pradesh,2022,3,11.7
Himachal pradesh,2022,4,34.6
Himachal pradesh,2022,5,95.6
Himachal pradesh,2022,6,176. 2
Himachal pradesh,2022,7,307. 4
Himachal pradesh,2022,8,151. 7
Himachal pradesh,2022,9,191. 8
Himachal pradesh,2022,10,103. 7
Himachal pradesh,2022,11,24.9
Himachal pradesh,2022,12,2.4
Himachal pradesh,2023,1,75.6
Himachal pradesh,2023,2,174. 2
Himachal pradesh,2023,3,75.1
Himachal pradesh,2023,4,25
Himachal pradesh,2023,5,31.3
Himachal pradesh,2023,6,240. 7
Himachal pradesh,2023,7,219. 7
Himachal pradesh,2023,8,245. 9
Himachal pradesh,2023,9,67.9
Himachal pradesh,2023,10,20.5
Himachal pradesh,2023,11,15.8
Himachal pradesh,2023,12,25.4
