State,Year,Month,Precipitation/rainfall per month
Jammu and kashmir,2019,1,75.6
Jammu and kashmir,2019,2,174. 2
Jammu and kashmir,2019,3,75.1
Jammu and kashmir,2019,4,25
Jammu and kashmir,2019,5,31.3
Jammu and kashmir,2019,6,240. 7
Jammu and kashmir,2019,7,219. 7
Jammu and kashmir,2019,8,245. 9
Jammu and kashmir,2019,9,67.9
Jammu and kashmir,2019,10,20.5
Jammu and kashmir,2019,11,15.8
Jammu and kashmir,2019,12,25.4
Jammu and kashmir,2020,1,66.3
Jammu and kashmir,2020,2,118.6
Jammu and kashmir,2020,3,118.4
Jammu and kashmir,2020,4,55.8
Jammu and kashmir,2020,5,64.7
Jammu and kashmir,2020,6,54.4
Jammu and kashmir,2020,7,214.4
Jammu and kashmir,2020,8,167.8
Jammu and kashmir,2020,9,86.5
Jammu and kashmir,2020,10,18.1
Jammu and kashmir,2020,11,3.7
Jammu and kashmir,2020,12,51.2
Jammu and kashmir,2021,1,71.6
Jammu and kashmir,2021,2,185. 4
Jammu and kashmir,2021,3,58.6
Jammu and kashmir,2021,4,66.5
Jammu and kashmir,2021,5,64.3
Jammu and kashmir,2021,6,112. 7
Jammu and kashmir,2021,7,175. 3
Jammu and kashmir,2021,8,306. 2
Jammu and kashmir,2021,9,57.7
Jammu and kashmir,2021,10,48.2
Jammu and kashmir,2021,11,18.8
Jammu and kashmir,2021,12,28.4
Jammu and kashmir,2022,1,105.4
Jammu and kashmir,2022,2,89.6
Jammu and kashmir,2022,3,214.5
Jammu and kashmir,2022,4,106.7
Jammu and kashmir,2022,5,73.9
Jammu and kashmir,2022,6,35.5
Jammu and kashmir,2022,7,100.5
Jammu and kashmir,2022,8,134.6
Jammu and kashmir,2022,9,362.8
Jammu and kashmir,2022,10,32.2
Jammu and kashmir,2022,11,19.7
Jammu and kashmir,2022,12,3.2
Jammu and kashmir,2023,1,75.6
Jammu and kashmir,2023,2,174. 2
Jammu and kashmir,2023,3,75.1
Jammu and kashmir,2023,4,25
Jammu and kashmir,2023,5,31.3
Jammu and kashmir,2023,6,240. 7
Jammu and kashmir,2023,7,219. 7
Jammu and kashmir,2023,8,245. 9
Jammu and kashmir,2023,9,67.9
Jammu and kashmir,2023,10,20.5
Jammu and kashmir,2023,11,15.8
Jammu and kashmir,2023,12,25.4
