State,Year,Month,Precipitation/rainfall per month
Jharkhand,2019,1,1.1
Jharkhand,2019,2,17.9
Jharkhand,2019,3,1.6
Jharkhand,2019,4,22.3
Jharkhand,2019,5,85
Jharkhand,2019,6,181. 5
Jharkhand,2019,7,211. 1
Jharkhand,2019,8,278. 1
Jharkhand,2019,9,173. 8
Jharkhand,2019,10,281. 1
Jharkhand,2019,11,0
Jharkhand,2019,12,0
Jharkhand,2020,1,9.9
Jharkhand,2020,2,47.5
Jharkhand,2020,3,22.9
Jharkhand,2020,4,1.9
Jharkhand,2020,5,98.2
Jharkhand,2020,6,139.7
Jharkhand,2020,7,321.3
Jharkhand,2020,8,290.9
Jharkhand,2020,9,178.2
Jharkhand,2020,10,44.9
Jharkhand,2020,11,0
Jharkhand,2020,12,1.2
Jharkhand,2021,1,17
Jharkhand,2021,2,33.5
Jharkhand,2021,3,8.4
Jharkhand,2021,4,0.7
Jharkhand,2021,5,103.9
Jharkhand,2021,6,115.2
Jharkhand,2021,7,265.4
Jharkhand,2021,8,307.6
Jharkhand,2021,9,160.3
Jharkhand,2021,10,47.8
Jharkhand,2021,11,0
Jharkhand,2021,12,1.2
Jharkhand,2022,1,5.1
Jharkhand,2022,2,22.6
Jharkhand,2022,3,0.6
Jharkhand,2022,4,32.3
Jharkhand,2022,5,89.5
Jharkhand,2022,6,183.3
Jharkhand,2022,7,182. 0
Jharkhand,2022,8,213. 6
Jharkhand,2022,9,143. 3
Jharkhand,2022,10,197. 1
Jharkhand,2022,11,0.4
Jharkhand,2022,12,0
Jharkhand,2023,1,0.2
Jharkhand,2023,2,0.5
Jharkhand,2023,3,1.4
Jharkhand,2023,4,5
Jharkhand,2023,5,259.6
Jharkhand,2023,6,354.3
Jharkhand,2023,7,258.3
Jharkhand,2023,8,328.7
Jharkhand,2023,9,103
Jharkhand,2023,10,189.6
Jharkhand,2023,11,0
Jharkhand,2023,12,12
