State,Year,Month,Precipitation/rainfall per month
Lakshwadeep,2019,1,26.2
Lakshwadeep,2019,2,34.4
Lakshwadeep,2019,3,37.5
Lakshwadeep,2019,4,5.3
Lakshwadeep,2019,5,88.3
Lakshwadeep,2019,6,426. 2
Lakshwadeep,2019,7,296. 4
Lakshwadeep,2019,8,154. 4
Lakshwadeep,2019,9,180. 0
Lakshwadeep,2019,10,72.8
Lakshwadeep,2019,11,78.1
Lakshwadeep,2019,12,26.7
Lakshwadeep,2020,1,53.2
Lakshwadeep,2020,2,16.1
Lakshwadeep,2020,3,4.4
Lakshwadeep,2020,4,14.9
Lakshwadeep,2020,5,57.4
Lakshwadeep,2020,6,244.1
Lakshwadeep,2020,7,116.1
Lakshwadeep,2020,8,466.1
Lakshwadeep,2020,9,132.2
Lakshwadeep,2020,10,169.2
Lakshwadeep,2020,11,59
Lakshwadeep,2020,12,62.3
Lakshwadeep,2021,1,47.5
Lakshwadeep,2021,2,25.8
Lakshwadeep,2021,3,15.5
Lakshwadeep,2021,4,1.7
Lakshwadeep,2021,5,10.7
Lakshwadeep,2021,6,47.8
Lakshwadeep,2021,7,224.5
Lakshwadeep,2021,8,138.1
Lakshwadeep,2021,9,106.6
Lakshwadeep,2021,10,74.9
Lakshwadeep,2021,11,0
Lakshwadeep,2021,12,8.3
Lakshwadeep,2022,1,6.1
Lakshwadeep,2022,2,59.7
Lakshwadeep,2022,3,2.7
Lakshwadeep,2022,4,8.7
Lakshwadeep,2022,5,1.1
Lakshwadeep,2022,6,310. 1
Lakshwadeep,2022,7,230. 0
Lakshwadeep,2022,8,246. 3
Lakshwadeep,2022,9,78.2
Lakshwadeep,2022,10,97.4
Lakshwadeep,2022,11,0.5
Lakshwadeep,2022,12,1.1
Lakshwadeep,2023,1,26.2
Lakshwadeep,2023,2,34.4
Lakshwadeep,2023,3,37.5
Lakshwadeep,2023,4,5.3
Lakshwadeep,2023,5,88.3
Lakshwadeep,2023,6,426. 2
Lakshwadeep,2023,7,296. 4
Lakshwadeep,2023,8,154. 4
Lakshwadeep,2023,9,180. 0
Lakshwadeep,2023,10,72.8
Lakshwadeep,2023,11,78.1
Lakshwadeep,2023,12,26.7
