State,Year,Month,Precipitation/rainfall per month
Madhya pradesh,2019,1,25.6
Madhya pradesh,2019,2,34.4
Madhya pradesh,2019,3,4.6
Madhya pradesh,2019,4,1.4
Madhya pradesh,2019,5,1.4
Madhya pradesh,2019,6,30.6
Madhya pradesh,2019,7,337.4
Madhya pradesh,2019,8,211
Madhya pradesh,2019,9,192.6
Madhya pradesh,2019,10,7
Madhya pradesh,2019,11,3
Madhya pradesh,2019,12,15.8
Madhya pradesh,2020,1,32.1
Madhya pradesh,2020,2,49.7
Madhya pradesh,2020,3,17.8
Madhya pradesh,2020,4,5.1
Madhya pradesh,2020,5,2.5
Madhya pradesh,2020,6,91.8
Madhya pradesh,2020,7,283.4
Madhya pradesh,2020,8,231.8
Madhya pradesh,2020,9,139.6
Madhya pradesh,2020,10,56.4
Madhya pradesh,2020,11,1.9
Madhya pradesh,2020,12,12.9
Madhya pradesh,2021,1,1.7
Madhya pradesh,2021,2,31.1
Madhya pradesh,2021,3,8.5
Madhya pradesh,2021,4,2.8
Madhya pradesh,2021,5,0.4
Madhya pradesh,2021,6,263. 7
Madhya pradesh,2021,7,485. 1
Madhya pradesh,2021,8,432. 6
Madhya pradesh,2021,9,98.9
Madhya pradesh,2021,10,68.7
Madhya pradesh,2021,11,0.3
Madhya pradesh,2021,12,2.4
Madhya pradesh,2022,1,2
Madhya pradesh,2022,2,43.4
Madhya pradesh,2022,3,14.1
Madhya pradesh,2022,4,9.5
Madhya pradesh,2022,5,0.3
Madhya pradesh,2022,6,311. 9
Madhya pradesh,2022,7,456. 2
Madhya pradesh,2022,8,480. 8
Madhya pradesh,2022,9,78
Madhya pradesh,2022,10,124. 2
Madhya pradesh,2022,11,0.5
Madhya pradesh,2022,12,1
Madhya pradesh,2023,1,32.1
Madhya pradesh,2023,2,49.7
Madhya pradesh,2023,3,17.8
Madhya pradesh,2023,4,5.1
Madhya pradesh,2023,5,2.5
Madhya pradesh,2023,6,91.8
Madhya pradesh,2023,7,283.4
Madhya pradesh,2023,8,231.8
Madhya pradesh,2023,9,139.6
Madhya pradesh,2023,10,56.4
Madhya pradesh,2023,11,1.9
Madhya pradesh,2023,12,12.9
