State,Year,Month,Precipitation/rainfall per month
Maharashtra,2019,1,3.1
Maharashtra,2019,2,6.2
Maharashtra,2019,3,24.4
Maharashtra,2019,4,7.5
Maharashtra,2019,5,29.8
Maharashtra,2019,6,44
Maharashtra,2019,7,277.9
Maharashtra,2019,8,240.3
Maharashtra,2019,9,120.4
Maharashtra,2019,10,38.5
Maharashtra,2019,11,32.8
Maharashtra,2019,12,13.1
Maharashtra,2020,1,1.4
Maharashtra,2020,2,13.4
Maharashtra,2020,3,79
Maharashtra,2020,4,11.9
Maharashtra,2020,5,7
Maharashtra,2020,6,30.4
Maharashtra,2020,7,105
Maharashtra,2020,8,178.9
Maharashtra,2020,9,84.5
Maharashtra,2020,10,14.2
Maharashtra,2020,11,19.9
Maharashtra,2020,12,3.3
Maharashtra,2021,1,0.1
Maharashtra,2021,2,5.3
Maharashtra,2021,3,0.8
Maharashtra,2021,4,5.7
Maharashtra,2021,5,6
Maharashtra,2021,6,212. 4
Maharashtra,2021,7,311. 8
Maharashtra,2021,8,147. 0
Maharashtra,2021,9,210. 3
Maharashtra,2021,10,57.8
Maharashtra,2021,11,4
Maharashtra,2021,12,1.3
Maharashtra,2022,1,1.5
Maharashtra,2022,2,9.4
Maharashtra,2022,3,2.6
Maharashtra,2022,4,7.9
Maharashtra,2022,5,6.4
Maharashtra,2022,6,160. 9
Maharashtra,2022,7,293. 4
Maharashtra,2022,8,136. 9
Maharashtra,2022,9,154. 1
Maharashtra,2022,10,94.3
Maharashtra,2022,11,7.4
Maharashtra,2022,12,13.1
Maharashtra,2023,1,1.4
Maharashtra,2023,2,13.4
Maharashtra,2023,3,79
Maharashtra,2023,4,11.9
Maharashtra,2023,5,7
Maharashtra,2023,6,30.4
Maharashtra,2023,7,105
Maharashtra,2023,8,178.9
Maharashtra,2023,9,84.5
Maharashtra,2023,10,14.2
Maharashtra,2023,11,19.9
Maharashtra,2023,12,3.3
