State,Year,Month,Precipitation/rainfall per month
Manipur,2019,1,0.2
Manipur,2019,2,5.7
Manipur,2019,3,19.7
Manipur,2019,4,60.3
Manipur,2019,5,348. 9
Manipur,2019,6,206. 6
Manipur,2019,7,255. 9
Manipur,2019,8,291. 3
Manipur,2019,9,241. 4
Manipur,2019,10,125. 6
Manipur,2019,11,0.3
Manipur,2019,12,1.2
Manipur,2020,1,1.2
Manipur,2020,2,21
Manipur,2020,3,25.4
Manipur,2020,4,49.6
Manipur,2020,5,192.5
Manipur,2020,6,268.3
Manipur,2020,7,295.7
Manipur,2020,8,372.3
Manipur,2020,9,300.9
Manipur,2020,10,69.6
Manipur,2020,11,3.3
Manipur,2020,12,0.1
Manipur,2021,1,0.7
Manipur,2021,2,41.9
Manipur,2021,3,18.8
Manipur,2021,4,1.7
Manipur,2021,5,120.3
Manipur,2021,6,182.6
Manipur,2021,7,300.6
Manipur,2021,8,295.9
Manipur,2021,9,222.4
Manipur,2021,10,56.3
Manipur,2021,11,0.1
Manipur,2021,12,0.5
Manipur,2022,1,2.4
Manipur,2022,2,10.5
Manipur,2022,3,6.6
Manipur,2022,4,48.4
Manipur,2022,5,210. 7
Manipur,2022,6,247. 9
Manipur,2022,7,266. 1
Manipur,2022,8,398. 8
Manipur,2022,9,255. 0
Manipur,2022,10,358. 3
Manipur,2022,11,0
Manipur,2022,12,0
Manipur,2023,1,0.2
Manipur,2023,2,5.7
Manipur,2023,3,19.7
Manipur,2023,4,60.3
Manipur,2023,5,348. 9
Manipur,2023,6,206. 6
Manipur,2023,7,255. 9
Manipur,2023,8,291. 3
Manipur,2023,9,241. 4
Manipur,2023,10,125. 6
Manipur,2023,11,0.3
Manipur,2023,12,1.2
