State,Year,Month,Precipitation/rainfall per month
Meghalaya,2019,1,2
Meghalaya,2019,2,28.1
Meghalaya,2019,3,29.5
Meghalaya,2019,4,51.1
Meghalaya,2019,5,342
Meghalaya,2019,6,414.9
Meghalaya,2019,7,370.3
Meghalaya,2019,8,474.1
Meghalaya,2019,9,421.7
Meghalaya,2019,10,34.7
Meghalaya,2019,11,3.1
Meghalaya,2019,12,0.4
Meghalaya,2020,1,1.1
Meghalaya,2020,2,9.5
Meghalaya,2020,3,44.4
Meghalaya,2020,4,112. 1
Meghalaya,2020,5,347. 0
Meghalaya,2020,6,285. 6
Meghalaya,2020,7,366. 4
Meghalaya,2020,8,291. 2
Meghalaya,2020,9,225. 3
Meghalaya,2020,10,125. 9
Meghalaya,2020,11,1.1
Meghalaya,2020,12,2
Meghalaya,2021,1,11
Meghalaya,2021,2,2.8
Meghalaya,2021,3,40.7
Meghalaya,2021,4,76.6
Meghalaya,2021,5,220.7
Meghalaya,2021,6,379.8
Meghalaya,2021,7,305.6
Meghalaya,2021,8,296.1
Meghalaya,2021,9,168.5
Meghalaya,2021,10,120.2
Meghalaya,2021,11,3.9
Meghalaya,2021,12,10.9
Meghalaya,2022,1,23.5
Meghalaya,2022,2,52.3
Meghalaya,2022,3,44.3
Meghalaya,2022,4,318.1
Meghalaya,2022,5,398.5
Meghalaya,2022,6,673.7
Meghalaya,2022,7,273.9
Meghalaya,2022,8,207
Meghalaya,2022,9,185.9
Meghalaya,2022,10,193.2
Meghalaya,2022,11,0.1
Meghalaya,2022,12,5.3
Meghalaya,2023,1,14.2
Meghalaya,2023,2,26.1
Meghalaya,2023,3,88.7
Meghalaya,2023,4,108.5
Meghalaya,2023,5,138
Meghalaya,2023,6,455.4
Meghalaya,2023,7,281.4
Meghalaya,2023,8,316.8
Meghalaya,2023,9,152.4
Meghalaya,2023,10,114.5
Meghalaya,2023,11,17.3
Meghalaya,2023,12,17.2
