State,Year,Month,Precipitation/rainfall per month
Sikkim,2019,1,3
Sikkim,2019,2,23.6
Sikkim,2019,3,32.1
Sikkim,2019,4,114. 7
Sikkim,2019,5,296. 5
Sikkim,2019,6,404. 9
Sikkim,2019,7,588. 4
Sikkim,2019,8,416. 3
Sikkim,2019,9,308. 0
Sikkim,2019,10,199. 8
Sikkim,2019,11,16.1
Sikkim,2019,12,2.7
Sikkim,2020,1,0.2
Sikkim,2020,2,26.6
Sikkim,2020,3,37.7
Sikkim,2020,4,47.9
Sikkim,2020,5,308.6
Sikkim,2020,6,543.2
Sikkim,2020,7,384.6
Sikkim,2020,8,563.3
Sikkim,2020,9,371.5
Sikkim,2020,10,31.2
Sikkim,2020,11,5.3
Sikkim,2020,12,2.4
Sikkim,2021,1,1.1
Sikkim,2021,2,9.5
Sikkim,2021,3,44.4
Sikkim,2021,4,112. 1
Sikkim,2021,5,347. 0
Sikkim,2021,6,285. 6
Sikkim,2021,7,366. 4
Sikkim,2021,8,291. 2
Sikkim,2021,9,225. 3
Sikkim,2021,10,125. 9
Sikkim,2021,11,1.1
Sikkim,2021,12,2
Sikkim,2022,1,19
Sikkim,2022,2,101.9
Sikkim,2022,3,80.3
Sikkim,2022,4,86.7
Sikkim,2022,5,299
Sikkim,2022,6,415.8
Sikkim,2022,7,392.4
Sikkim,2022,8,599.6
Sikkim,2022,9,343
Sikkim,2022,10,35.1
Sikkim,2022,11,20.1
Sikkim,2022,12,10.2
Sikkim,2023,1,0.2
Sikkim,2023,2,26.6
Sikkim,2023,3,37.7
Sikkim,2023,4,47.9
Sikkim,2023,5,308.6
Sikkim,2023,6,543.2
Sikkim,2023,7,384.6
Sikkim,2023,8,563.3
Sikkim,2023,9,371.5
Sikkim,2023,10,31.2
Sikkim,2023,11,5.3
Sikkim,2023,12,2.4
