State,Year,Month,Precipitation/rainfall per month
Tamil Nadu,2019,1,3.9
Tamil Nadu,2019,2,30.9
Tamil Nadu,2019,3,30
Tamil Nadu,2019,4,20.3
Tamil Nadu,2019,5,42
Tamil Nadu,2019,6,54.6
Tamil Nadu,2019,7,42.7
Tamil Nadu,2019,8,110. 7
Tamil Nadu,2019,9,113. 5
Tamil Nadu,2019,10,127. 9
Tamil Nadu,2019,11,112. 3
Tamil Nadu,2019,12,53.2
Tamil Nadu,2020,1,0.7
Tamil Nadu,2020,2,21.5
Tamil Nadu,2020,3,7.2
Tamil Nadu,2020,4,23.7
Tamil Nadu,2020,5,38.2
Tamil Nadu,2020,6,65.2
Tamil Nadu,2020,7,82.8
Tamil Nadu,2020,8,90
Tamil Nadu,2020,9,182. 4
Tamil Nadu,2020,10,140. 4
Tamil Nadu,2020,11,23.6
Tamil Nadu,2020,12,1.5
Tamil Nadu,2021,1,7.4
Tamil Nadu,2021,2,6.1
Tamil Nadu,2021,3,8.1
Tamil Nadu,2021,4,8.3
Tamil Nadu,2021,5,139.1
Tamil Nadu,2021,6,47.8
Tamil Nadu,2021,7,50.6
Tamil Nadu,2021,8,117.7
Tamil Nadu,2021,9,98.9
Tamil Nadu,2021,10,252.2
Tamil Nadu,2021,11,110.8
Tamil Nadu,2021,12,66
Tamil Nadu,2022,1,0.1
Tamil Nadu,2022,2,0.5
Tamil Nadu,2022,3,13.9
Tamil Nadu,2022,4,8.4
Tamil Nadu,2022,5,52.2
Tamil Nadu,2022,6,65.7
Tamil Nadu,2022,7,64.4
Tamil Nadu,2022,8,106.2
Tamil Nadu,2022,9,73.2
Tamil Nadu,2022,10,101.9
Tamil Nadu,2022,11,28.5
Tamil Nadu,2022,12,8.3
Tamil Nadu,2023,1,3.9
Tamil Nadu,2023,2,30.9
Tamil Nadu,2023,3,30
Tamil Nadu,2023,4,20.3
Tamil Nadu,2023,5,42
Tamil Nadu,2023,6,54.6
Tamil Nadu,2023,7,42.7
Tamil Nadu,2023,8,110. 7
Tamil Nadu,2023,9,113. 5
Tamil Nadu,2023,10,127. 9
Tamil Nadu,2023,11,112. 3
Tamil Nadu,2023,12,53.2
