State,Year,Month,Precipitation/rainfall per month
Telangana,2019,1,1.2
Telangana,2019,2,38.2
Telangana,2019,3,4.5
Telangana,2019,4,37
Telangana,2019,5,21.7
Telangana,2019,6,101. 0
Telangana,2019,7,157. 9
Telangana,2019,8,127. 3
Telangana,2019,9,138. 0
Telangana,2019,10,384. 3
Telangana,2019,11,66.5
Telangana,2019,12,4.2
Telangana,2020,1,3.9
Telangana,2020,2,30.9
Telangana,2020,3,30
Telangana,2020,4,20.3
Telangana,2020,5,42
Telangana,2020,6,54.6
Telangana,2020,7,42.7
Telangana,2020,8,110. 7
Telangana,2020,9,113. 5
Telangana,2020,10,127. 9
Telangana,2020,11,112. 3
Telangana,2020,12,53.2
Telangana,2021,1,0.7
Telangana,2021,2,1.2
Telangana,2021,3,6.5
Telangana,2021,4,7.5
Telangana,2021,5,84.8
Telangana,2021,6,35
Telangana,2021,7,141.1
Telangana,2021,8,144.3
Telangana,2021,9,128.6
Telangana,2021,10,160.8
Telangana,2021,11,49.5
Telangana,2021,12,17.5
Telangana,2022,1,7.4
Telangana,2022,2,6.1
Telangana,2022,3,8.1
Telangana,2022,4,8.3
Telangana,2022,5,139.1
Telangana,2022,6,47.8
Telangana,2022,7,50.6
Telangana,2022,8,117.7
Telangana,2022,9,98.9
Telangana,2022,10,252.2
Telangana,2022,11,110.8
Telangana,2022,12,66
Telangana,2023,1,1.2
Telangana,2023,2,38.2
Telangana,2023,3,4.5
Telangana,2023,4,37
Telangana,2023,5,21.7
Telangana,2023,6,101. 0
Telangana,2023,7,157. 9
Telangana,2023,8,127. 3
Telangana,2023,9,138. 0
Telangana,2023,10,384. 3
Telangana,2023,11,66.5
Telangana,2023,12,4.2
