State,Year,Month,Precipitation/rainfall per month
Uttarakhand,2019,1,73
Uttarakhand,2019,2,188. 3
Uttarakhand,2019,3,22
Uttarakhand,2019,4,24.7
Uttarakhand,2019,5,18.2
Uttarakhand,2019,6,488. 9
Uttarakhand,2019,7,413. 4
Uttarakhand,2019,8,359. 4
Uttarakhand,2019,9,111. 3
Uttarakhand,2019,10,29.1
Uttarakhand,2019,11,3.2
Uttarakhand,2019,12,3.8
Uttarakhand,2020,1,45.9
Uttarakhand,2020,2,99.9
Uttarakhand,2020,3,68.4
Uttarakhand,2020,4,37.6
Uttarakhand,2020,5,52.9
Uttarakhand,2020,6,62.9
Uttarakhand,2020,7,462.7
Uttarakhand,2020,8,264.2
Uttarakhand,2020,9,107.9
Uttarakhand,2020,10,40.8
Uttarakhand,2020,11,0
Uttarakhand,2020,12,44.3
Uttarakhand,2021,1,0.2
Uttarakhand,2021,2,0.5
Uttarakhand,2021,3,1.4
Uttarakhand,2021,4,5
Uttarakhand,2021,5,259.6
Uttarakhand,2021,6,354.3
Uttarakhand,2021,7,258.3
Uttarakhand,2021,8,328.7
Uttarakhand,2021,9,103
Uttarakhand,2021,10,189.6
Uttarakhand,2021,11,0
Uttarakhand,2021,12,12
Uttarakhand,2022,1,17
Uttarakhand,2022,2,33.5
Uttarakhand,2022,3,8.4
Uttarakhand,2022,4,0.7
Uttarakhand,2022,5,103.9
Uttarakhand,2022,6,115.2
Uttarakhand,2022,7,265.4
Uttarakhand,2022,8,307.6
Uttarakhand,2022,9,160.3
Uttarakhand,2022,10,47.8
Uttarakhand,2022,11,0
Uttarakhand,2022,12,1.2
Uttarakhand,2023,1,5.1
Uttarakhand,2023,2,22.6
Uttarakhand,2023,3,0.6
Uttarakhand,2023,4,32.3
Uttarakhand,2023,5,89.5
Uttarakhand,2023,6,183.3
Uttarakhand,2023,7,182. 0
Uttarakhand,2023,8,213. 6
Uttarakhand,2023,9,143. 3
Uttarakhand,2023,10,197. 1
Uttarakhand,2023,11,0.4
Uttarakhand,2023,12,0
