State,Year,Month,Precipitation/rainfall per month
Odisha,2019,1,0
Odisha,2019,2,17.6
Odisha,2019,3,25.1
Odisha,2019,4,11.7
Odisha,2019,5,111.9
Odisha,2019,6,92.2
Odisha,2019,7,496.2
Odisha,2019,8,386.3
Odisha,2019,9,281.1
Odisha,2019,10,111.8
Odisha,2019,11,2.2
Odisha,2019,12,0.9
Odisha,2020,1,0.7
Odisha,2020,2,41.9
Odisha,2020,3,18.8
Odisha,2020,4,1.7
Odisha,2020,5,120.3
Odisha,2020,6,182.6
Odisha,2020,7,300.6
Odisha,2020,8,295.9
Odisha,2020,9,222.4
Odisha,2020,10,56.3
Odisha,2020,11,0.1
Odisha,2020,12,0.5
Odisha,2021,1,3.3
Odisha,2021,2,7.8
Odisha,2021,3,2.1
Odisha,2021,4,53.6
Odisha,2021,5,57.7
Odisha,2021,6,272. 6
Odisha,2021,7,380. 0
Odisha,2021,8,254. 9
Odisha,2021,9,208. 1
Odisha,2021,10,390. 9
Odisha,2021,11,1.2
Odisha,2021,12,0
Odisha,2022,1,2.4
Odisha,2022,2,10.5
Odisha,2022,3,6.6
Odisha,2022,4,48.4
Odisha,2022,5,210. 7
Odisha,2022,6,247. 9
Odisha,2022,7,266. 1
Odisha,2022,8,398. 8
Odisha,2022,9,255. 0
Odisha,2022,10,358. 3
Odisha,2022,11,0
Odisha,2022,12,0
Odisha,2023,1,0.7
Odisha,2023,2,41.9
Odisha,2023,3,18.8
Odisha,2023,4,1.7
Odisha,2023,5,120.3
Odisha,2023,6,182.6
Odisha,2023,7,300.6
Odisha,2023,8,295.9
Odisha,2023,9,222.4
Odisha,2023,10,56.3
Odisha,2023,11,0.1
Odisha,2023,12,0.5
