State,Year,Month,Precipitation/rainfall per month,SPI12
Arunachal Pradesh,2019,1,19.0,
Arunachal Pradesh,2019,2,101.9,
Arunachal Pradesh,2019,3,80.3,
Arunachal Pradesh,2019,4,86.7,
Arunachal Pradesh,2019,5,299.0,
Arunachal Pradesh,2019,6,415.8,
Arunachal Pradesh,2019,7,392.4,
Arunachal Pradesh,2019,8,599.6,
Arunachal Pradesh,2019,9,343.0,
Arunachal Pradesh,2019,10,35.1,
Arunachal Pradesh,2019,11,20.1,
Arunachal Pradesh,2019,12,10.2,-0.4472903537471536
Arunachal Pradesh,2020,1,115.1,0.07304122932411831
Arunachal Pradesh,2020,2,175.1,0.6419599846764542
Arunachal Pradesh,2020,3,335.8,1.425207966708308
Arunachal Pradesh,2020,4,290.0,0.2786567937161105
Arunachal Pradesh,2020,5,329.6,0.45839219107722873
Arunachal Pradesh,2020,6,230.2,0.41189144219271295
Arunachal Pradesh,2020,7,316.1,1.073047471119971
Arunachal Pradesh,2020,8,164.1,-0.24275087838698253
Arunachal Pradesh,2020,9,13.3,-1.2544051980282949
Arunachal Pradesh,2020,10,14.6,-1.209214223885801
Arunachal Pradesh,2020,11,0.4,-1.2849178487035922
Arunachal Pradesh,2020,12,0.0,-1.268878983194778
Arunachal Pradesh,2021,1,0.2,-1.1298781987834308
Arunachal Pradesh,2021,2,0.5,-0.5859117936901619
Arunachal Pradesh,2021,3,1.4,-0.2669319769809349
Arunachal Pradesh,2021,4,5.0,-0.11605677922081091
Arunachal Pradesh,2021,5,259.6,5.122515906582749
Arunachal Pradesh,2021,6,354.3,6.420821513912308
Arunachal Pradesh,2021,7,258.3,4.672001655834514
Arunachal Pradesh,2021,8,328.7,6.842529851734579
Arunachal Pradesh,2021,9,103.0,2.2413324122110976
Arunachal Pradesh,2021,10,189.6,4.3728807099286024
Arunachal Pradesh,2021,11,0.0,-0.3162388737076331
Arunachal Pradesh,2021,12,12.0,-0.2978878840589318
Arunachal Pradesh,2022,1,11.2,-0.4718350288114262
Arunachal Pradesh,2022,2,28.8,-0.20768328043896317
Arunachal Pradesh,2022,3,0.1,-0.26471804005756355
Arunachal Pradesh,2022,4,10.8,-0.5083947133369844
Arunachal Pradesh,2022,5,78.0,0.9450407827188616
Arunachal Pradesh,2022,6,172.6,0.818811695057643
Arunachal Pradesh,2022,7,134.7,1.8192687743289486
Arunachal Pradesh,2022,8,170.1,4.544698068276379
Arunachal Pradesh,2022,9,206.2,3.340406396728567
Arunachal Pradesh,2022,10,81.8,0.8535056474388917
Arunachal Pradesh,2022,11,0.0,-0.5155476153272466
Arunachal Pradesh,2022,12,0.1,-0.2851841577306412
Arunachal Pradesh,2023,1,0.2,-0.23669632097134238
Arunachal Pradesh,2023,2,0.0,-0.1045935427508941
Arunachal Pradesh,2023,3,19.7,0.2553505837372974
Arunachal Pradesh,2023,4,14.8,0.013846938842124165
Arunachal Pradesh,2023,5,40.1,0.5135347210599598
Arunachal Pradesh,2023,6,85.0,3.285894927456736
Arunachal Pradesh,2023,7,178.2,6.166241109041373
Arunachal Pradesh,2023,8,306.5,4.876197969911096
Arunachal Pradesh,2023,9,190.9,4.435457513872848
Arunachal Pradesh,2023,10,94.6,1.6055279550069845
Arunachal Pradesh,2023,11,0.1,-0.31173627321091457
Arunachal Pradesh,2023,12,8.1,-0.2111769386468274
